#REF!;non_value;SI;SOR0018;23;900067 PLACA SALIDAS BODYTER PREMIUM;25;*;*;4'25;non_value;non_value
#REF!;non_value;SI;PRE0008;25;6354A CRS-240;25;*;*;3'15;non_value;non_value
#REF!;non_value;NO;CIM0002;1;980016 LED-V0;84;L;*;1'99;non_value;non_value
#REF!;non_value;SI;WAV0028;1;MONITEM EXPANSION ETHERNET;8;*;*;non_value;non_value;MANUAL> CONTROL HORAS
#REF!;non_value;SI;ING0005_01;2;i021-02H1_2.1.0;108;*;L;2'62;non_value;non_value
#REF!;non_value;SI;CIP0010;5;9354.0010 METRON;3;*;*;*;non_value;MONTAJE MANUAL. NO LLEVA PANTALLA
#REF!;non_value;SI;CIP0006;27;2748.0030 MYR GRANDE;60;*;*;3'52;non_value;non_value
#REF!;non_value;SI;SOR0008;22;315661 C.I. SALIDAS SKINLIGHT;24;*;*;1'69;non_value;non_value
#REF!;non_value;SI;SOR0008;23;315661 C.I. SALIDAS SKINLIGHT;24;*;*;*;non_value;non_value
#REF!;non_value;NO;JVV0009;10;0949-003-0R02 M2;50;*;*;1'45;non_value;non_value
#REF!;non_value;SI;PRE0001;12;0580-ESPECIAL;95;*;*;6'03;non_value;non_value
#REF!;non_value;SI;WAV0009;8;SMARTPOWER SMRF v2;54;*;*;5'41;non_value;non_value
#REF!;non_value;NO;WAV0025;2;MAINBOARD v3;54;*;*;6'93;non_value;MAT.CLIENTE 29/02 >> 01/03 cliente nos notifica retraso en entrega de sus materiales y que recibiremos el MAT.CLIENTE 02/03 >> falta AD7927 >> cliente nos pide que lo pedidamos nosotras en farnell para recibirlo 03/03
non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value
non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value
DEL 07-03 AL 11-03;10;non_value;non_value;non_value;non_value;non_value;non_value;non_value;2;40;38
non_value;non_value;non_value;non_value;non_value;ACABAR WAV0025;non_value;non_value;non_value;2;non_value;non_value
#REF!;non_value;NO;JVV0059;9;0589-024-0AR02 M2;340;*;*;3'51;non_value;OJO COMBINACIONES DE BINES!!!!!!!!
#REF!;non_value;NO;JVV0099;7;0589-024-0Br02;310;*;*;1'1;non_value;non_value
#REF!;non_value;SI;SOR0154;4;316234 PLACA DISPARO NORA +;60;*;*;2'33;non_value;non_value
#REF!;non_value;SI;SOR0019;14;315856 CONTROL BODYTER PREMIUM;25;*;*;3'17;non_value;non_value
#REF!;non_value;NO;JVV0156;1;0949-016-0R02 M5;385;*;L;5'36;non_value;non_value
#REF!;non_value;NO;JVV0103;6;0877-036-0R02 M2;150;*;*;1'7;non_value;non_value
#REF!;non_value;NO;JVV0025;4;0949-001-0R01 M1;51;*;L;1'12;non_value;non_value
#REF!;non_value;NO;JVV0013;8;0949-009-0R01;50;*;L;1'18;non_value;non_value
#REF!;non_value;SI;SOR0007;14;316014 CONTROL GENERAL SKINLIGHT;25;*;*;5'05;non_value;non_value
#REF!;non_value;SI;SOR0007;15;316014 CONTROL GENERAL SKINLIGHT;30;*;*;*;non_value;non_value
#REF!;non_value;NO;IRE0001;1;CAMALEON_PROTOS;3;*;*;*;non_value;MONTAJE MANUAL CON PANTALLA PROTO. CONTROL HORAS
#REF!;non_value;NO;JVV0019;11;0949-003-0R02 M1;40;*;*;1'87;non_value;non_value
#REF!;non_value;NO;JVV0087;2;0949-004-0R01 M3;50;*;*;2'73;non_value;segun Jordi (Onaur) faltará 1 led en la última imagen... marcar placa
#REF!;non_value;NO;JVV0103;7;0877-036-0R02 M1 ;100;*;*;1'47;non_value;non_value
